Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
 LowHumidityThreshold,,Low humidity threshold,,,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,,
 outsideEnthalpySp,,Outside Enthalpy Setpoint,,,Number,,,btu_per_pound,kilojoules_per_kilogram,1,1,,,,
aexBypassDamper,aexBypassDamper,Air Exchanger Bypass Damper Command,Air Exchanger Bypass Damper Command,aexBypassDamper,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,bypass,damper,position,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexBypassDamperAlarm,aexBypassDamperAlarm,Air Exchanger Bypass Damper Alarm,Air Exchanger Bypass Damper Alarm,aexBypassDamperAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,bypass,damper,position,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexBypassDamperFb,aexBypassDamperFb,Air Exchanger Bypass Damper Feedback,Air Exchanger Bypass Damper Feedback,aexBypassDamperFb,Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"aex,bypass,damper,position,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeEnthalpy,aexDischargeEnthalpy,Air Exchanger Discharge Enthalpy,Air Exchanger Discharge Enthalpy,aexDischargeEnthalpy,Number,,,btu_per_pound,kilojoules_per_kilogram,1,1,,,"aex,discharge,air,enthalpy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFan,aexDischargeFan,Air Exchanger Discharge Fan Command,Air Exchanger Discharge Fan Command,aexDischargeFan,Bool,On/Off,On/Off,,,,,,,"aex,discharge,air,fan,status,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanAlarm,aexDischargeFanAlarm,Air Exchanger Discharge Fan Alarm,Air Exchanger Discharge Fan Alarm,aexDischargeFanAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,discharge,air,fan,common,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanAlarmReset,aexDischargeFanAlarmReset,Air Exchanger Discharge Fan Alarm Reset,Air Exchanger Discharge Fan Alarm Reset,aexDischargeFanAlarmReset,Bool,Reset/Normal,Reset/Normal,,,,,,,"aex,discharge,air,fan,alarm,reset","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanBypass,aexDischargeFanBypass,Air Exchanger Discharge Fan Bypass,Air Exchanger Discharge Fan Bypass,aexDischargeFanBypass,Bool,Bypass/Normal,Bypass/Normal,,,,,,,"aex,discharge,air,fan,bypass,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanCurrent,aexDischargeFanCurrent,Air Exchanger Discharge Fan Current,Air Exchanger Discharge Fan Current,aexDischargeFanCurrent,Number,,,ampere,ampere,1,1,,N,"aex,discharge,air,fan,current,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanDCVoltage,aexDischargeFanDCVoltage,Air Exchanger Discharge Fan DC Voltage,Air Exchanger Discharge Fan DC Voltage,aexDischargeFanDCVoltage,Number,,,volt,volt,1,1,,,"aex,discharge,air,fan,dcVolt,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanDirection,aexDischargeFanDirection,Air Exchanger Discharge Fan Direction,Air Exchanger Discharge Fan Direction,aexDischargeFanDirection,Bool,Forward/Reverse,Forward/Reverse,,,,,,,"aex,discharge,air,fan,direction,cmd","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanDriveAlarm,aexDischargeFanDriveAlarm,Air Exchanger Discharge Fan Drive Alarm,Air Exchanger Discharge Fan Drive Alarm,aexDischargeFanDriveAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,discharge,air,fan,drive,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanDriveTemp,aexDischargeFanDriveTemp,Air Exchanger Discharge Fan Drive Temperature,Air Exchanger Discharge Fan Drive Temperature,aexDischargeFanDriveTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,discharge,air,fan,driveTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanEnergy,aexDischargeFanEnergy,Air Exchanger Discharge Fan Energy,Air Exchanger Discharge Fan Energy,aexDischargeFanEnergy,Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"aex,discharge,air,fan,energy,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanEnteringPressure,aexDischargeFanEnteringPressure,Air Exchanger Discharge Fan Entering Pressure,Air Exchanger Discharge Fan Entering Pressure,aexDischargeFanEnteringPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,fan,entering,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanFault,aexDischargeFanFault,Air Exchanger Discharge Fan Fault,Air Exchanger Discharge Fan Fault,aexDischargeFanFault,Bool,Fault/Normal,Fault/Normal,,,,,,,"aex,discharge,air,fan,fault","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanFrequency,aexDischargeFanFrequency,Air Exchanger Discharge Fan Frequency,Air Exchanger Discharge Fan Frequency,aexDischargeFanFrequency,Number,,,hertz,hertz,1,1,,,"aex,discharge,air,fan,freq,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanHandMode,aexDischargeFanHandMode,Air Exchanger Discharge Fan Hand/Auto Mode,Air Exchanger Discharge Fan Hand/Auto Mode,aexDischargeFanHandMode,Bool,Hand/Auto,Hand/Auto,,,,,,,"aex,discharge,air,fan,handMode,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanLeavingPressure,aexDischargeFanLeavingPressure,Air Exchanger Discharge Fan Leaving Pressure,Air Exchanger Discharge Fan Leaving Pressure,aexDischargeFanLeavingPressure,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,fan,leaving,pressure,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanMaintSwitch,aexDischargeFanMaintSwitch,Air Exchanger Discharge Fan Maintenance Switch,Air Exchanger Discharge Fan Maintenance Switch,aexDischargeFanMaintSwitch,Bool,On/Off,On/Off,,,,,,,"maintenance,switch,cmd,aex,discharge,fan,air","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanMotorShortAlarm,aexDischargeFanMotorShortAlarm,Air Exchanger Discharge Fan Motor Short Alarm,Air Exchanger Discharge Fan Motor Short Alarm,aexDischargeFanMotorShortAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"aex,discharge,air,fan,motor,short,alarm","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanMotorSpeed,aexDischargeFanMotorSpeed,Air Exchanger Discharge Fan Motor Speed,Air Exchanger Discharge Fan Motor Speed,aexDischargeFanMotorSpeed,Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"aex,discharge,air,fan,motorSpeed,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanMotorTemp,aexDischargeFanMotorTemp,Air Exchanger Discharge Fan Motor Temperature,Air Exchanger Discharge Fan Motor Temperature,aexDischargeFanMotorTemp,Number,,,fahrenheit,celsius,1,1,,,"aex,discharge,air,fan,motorTemp,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanOvr,aexDischargeFanOvr,Air Exchanger Discharge Fan Override,Air Exchanger Discharge Fan Override,aexDischargeFanOvr,Bool,On/Off,On/Off,,,,,,,"aex,discharge,air,fan,status,ovr","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanPowerReal,aexDischargeFanPowerReal,Air Exchanger Discharge Fan Real Power,Air Exchanger Discharge Fan Real Power,aexDischargeFanPowerReal,Number,,,kilowatt,kilowatt,1,1,,N,"aex,discharge,air,fan,power,real,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
aexDischargeFanPressureDelta,aexDischargeFanPressureDelta,Air Exchanger Discharge Fan Pressure Delta,Air Exchanger Discharge Fan Pressure Delta,aexDischargeFanPressureDelta,Number,,,inches_of_water,pascal,2,1,,,"aex,discharge,air,fan,common,pressure,delta,sensor","AHU,DHU,DOAS,ERU,HRU,RTU"
